ID	type
MA_10001337g0010	gene
MA_10001425g0010	gene
MA_10002030g0010	gene
MA_10002614g0010	gene
MA_10002g0020	gene
MA_10003545g0010	gene
MA_10005112g0010	gene
MA_10005801g0010	gene
MA_100058g0010	gene
MA_10006126g0010	gene
MA_10006291g0010	gene
MA_10006362g0010	gene
MA_10006831g0010	gene
MA_10007908g0010	gene
MA_1000807g0010	gene
MA_100087g0010	gene
MA_10009233g0010	gene
MA_100094g0010	gene
MA_10009970g0010	gene
MA_100107g0010	gene
MA_10011940g0010	gene
MA_10011980g0010	gene
MA_10012052g0010	gene
MA_100129g0010	gene
MA_10013593g0010	gene
MA_100135g0010	gene
MA_100136g0010	gene
MA_10013703g0010	gene
MA_10014137g0010	gene
MA_10014377g0010	gene
MA_10014849g0010	gene
MA_100150g0010	gene
MA_10015466g0010	gene
MA_10015466g0020	gene
MA_1001573g0010	gene
MA_10015968g0010	gene
MA_10016128g0010	gene
MA_10016305g0010	gene
MA_10016710g0020	gene
MA_10017488g0010	gene
MA_10017907g0010	gene
MA_100179g0010	gene
MA_10018022g0010	gene
MA_10018048g0010	gene
MA_10018366g0010	gene
MA_10018585g0010	gene
MA_10018599g0010	gene
MA_10018650g0010	gene
MA_100190g0010	gene
MA_10019331g0010	gene
MA_10019515g0010	gene
MA_100195g0010	gene
MA_10019752g0010	gene
MA_10019946g0010	gene
MA_10020001g0010	gene
MA_10020874g0010	gene
MA_10020g0010	gene
MA_10021022g0010	gene
MA_100210g0010	gene
MA_10021234g0010	gene
MA_100213g0010	gene
MA_10021431g0010	gene
MA_10021615g0010	gene
MA_10021649g0010	gene
MA_10021720g0010	gene
MA_10021946g0010	gene
MA_10022184g0010	gene
MA_10022392g0010	gene
MA_100230g0010	gene
MA_100231g0010	gene
MA_10025084g0010	gene
MA_10025182g0010	gene
MA_10025286g0010	gene
MA_10025310g0010	gene
MA_10025722g0010	gene
MA_10027224g0010	gene
MA_1002731g0010	gene
MA_10027776g0010	gene
MA_10027972g0010	gene
MA_10027g0010	gene
MA_10028544g0010	gene
MA_100286g0010	gene
MA_100286g0020	gene
MA_10028778g0010	gene
MA_100287g0010	gene
MA_10028g0010	gene
MA_10029693g0010	gene
MA_100296g0010	gene
MA_10029973g0010	gene
MA_100300g0010	gene
MA_10030219g0010	gene
MA_10030456g0010	gene
MA_10030828g0010	gene
MA_10030878g0010	gene
MA_10030g0010	gene
MA_10031049g0010	gene
MA_10031662g0010	gene
MA_10031719g0010	gene
MA_10031781g0010	gene
MA_10031819g0010	gene
MA_100327g0010	gene
MA_10032819g0010	gene
MA_10033839g0010	gene
MA_10033993g0010	gene
MA_10034634g0010	gene
MA_100348g0010	gene
MA_100349g0010	gene
MA_10034g0010	gene
MA_100359g0010	gene
MA_10036422g0010	gene
MA_10036834g0010	gene
MA_100374g0010	gene
MA_10037718g0010	gene
MA_10037913g0010	gene
MA_100379g0010	gene
MA_10038097g0010	gene
MA_100380g0010	gene
MA_10038236g0010	gene
MA_10038446g0010	gene
MA_10038541g0010	gene
MA_10038699g0010	gene
MA_10038830g0010	gene
MA_10039253g0010	gene
MA_100396g0010	gene
MA_10040248g0010	gene
MA_100402g0010	gene
MA_10040454g0010	gene
MA_10040460g0010	gene
MA_10040687g0010	gene
MA_10041174g0010	gene
MA_10041588g0010	gene
