"","TRINITY_ID","scaffold","t_start","t_end","strand"
"1","TRINITY_DN56_c0_g1_i3","MA_100926","25664","26253","+"
"2","TRINITY_DN14_c1_g1_i1","MA_1732","8787","9395","+"
"3","TRINITY_DN0_c1_g1_i1","MA_3249","42742","47929","+"
"4","TRINITY_DN158_c0_g1_i4","MA_19146","104992","106558","+"
"5","TRINITY_DN158_c0_g1_i1","MA_19146","104992","106558","+"
"6","TRINITY_DN158_c0_g1_i11","MA_19146","105540","106558","+"
"7","TRINITY_DN158_c0_g2_i1","MA_10429509|MA_19146","11078|103947","11979|104796","-|+"
"8","TRINITY_DN158_c0_g3_i1","MA_10429509","11304","11979","-"
"9","TRINITY_DN143_c2_g2_i3","MA_10428636|MA_18061","12036|50063","12983|50256","-|+"
"10","TRINITY_DN184_c0_g1_i4","MA_10431726|MA_10431726","13232|14382","15751|14853","+|+"
"11","TRINITY_DN184_c0_g1_i6","MA_10431726|MA_10431726","13232|13236","17112|13497","+|+"
"12","TRINITY_DN184_c0_g1_i7","MA_10431726|MA_10431726","13232|13236","17112|13497","+|+"
"13","TRINITY_DN184_c0_g1_i1","MA_10431726|MA_10431726","13232|13244","17120|13497","+|+"
"14","TRINITY_DN184_c0_g1_i2","MA_10431726","13232","14853","+"
"15","TRINITY_DN196_c0_g1_i2","MA_171883","9897","10395","-"
"16","TRINITY_DN196_c0_g1_i3","MA_171883","9674","10395","-"
"17","TRINITY_DN196_c0_g1_i18","MA_171883|MA_171883","9674|9883","9989|10395","-|-"
"18","TRINITY_DN196_c0_g1_i14","MA_171883","10199","10442","-"
"19","TRINITY_DN196_c0_g1_i12","MA_171883","9674","10395","-"
"20","TRINITY_DN196_c0_g1_i13","MA_171883","9674","10395","-"
"21","TRINITY_DN106_c0_g2_i3","MA_10437163","51903","52279","-"
"22","TRINITY_DN113_c0_g1_i1","MA_21185","36341","37237","+"
"23","TRINITY_DN113_c0_g1_i2","MA_21185","36341","37237","+"
"24","TRINITY_DN117_c0_g1_i19","MA_10434484|MA_6569","2737|25554","27273|26625","-|+"
"25","TRINITY_DN145_c4_g1_i1","MA_10427644|MA_10427644","41040|41668","42053|42073","+|+"
"26","TRINITY_DN259_c2_g1_i2","MA_36362","15977","21467","-"
"27","TRINITY_DN259_c2_g1_i5","MA_36362","15977","21467","-"
"28","TRINITY_DN226_c1_g2_i1","MA_10428175|MA_10435237","1|13872","11591|15335","+|+"
"29","TRINITY_DN264_c0_g1_i5","MA_20540","59697","61125","-"
"30","TRINITY_DN264_c0_g1_i2","MA_20540","59697","61125","-"
"31","TRINITY_DN317_c0_g1_i17","MA_10326939|MA_164599|MA_167275|MA_172730","7270|2279|21685|16126","8117|3126|22486|16927","-|-|+|-"
"32","TRINITY_DN397_c1_g1_i2","MA_105476","19839","21153","+"
"33","TRINITY_DN371_c7_g1_i1","MA_10434375","3849","3998","+"
"34","TRINITY_DN391_c1_g1_i1","MA_10431399","6942","8665","+"
"35","TRINITY_DN372_c4_g1_i1","MA_10436592","28414","28799","+"
"36","TRINITY_DN368_c0_g1_i1","MA_10427877|MA_10433954","19922|15125","20372|15334","+|+"
"37","TRINITY_DN368_c0_g1_i8","MA_20248|MA_8019","86651|22159","88460|22832","+|+"
"38","TRINITY_DN438_c1_g1_i14","MA_18884|MA_26842","31608|17783","32037|18654","+|+"
"39","TRINITY_DN402_c0_g1_i7","MA_21240","24289","24875","+"
"40","TRINITY_DN402_c0_g1_i3","MA_21240","23826","25816","+"
"41","TRINITY_DN464_c0_g3_i3","MA_10437023|MA_167509","997|8885","2366|9710","+|+"
"42","TRINITY_DN467_c0_g1_i9","MA_100928","23806","24389","-"
"43","TRINITY_DN432_c0_g1_i4","MA_123491","7670","11148","-"
"44","TRINITY_DN432_c0_g1_i1","MA_123491","7670","11148","-"
"45","TRINITY_DN432_c0_g1_i2","MA_123491","7670","11148","-"
"46","TRINITY_DN486_c0_g2_i3","MA_10434504","31650","32135","-"
"47","TRINITY_DN568_c1_g3_i1","MA_10431263","1560","2581","+"
"48","TRINITY_DN528_c0_g1_i1","MA_10432436","46101","47687","+"
"49","TRINITY_DN525_c0_g1_i2","MA_34972","11506","19148","-"
"50","TRINITY_DN627_c0_g2_i2","MA_10426135","13920","14558","-"
"51","TRINITY_DN603_c0_g2_i2","MA_10432542","4446","5026","-"
"52","TRINITY_DN750_c0_g3_i1","MA_39905","14521","15387","-"
"53","TRINITY_DN789_c0_g4_i1","MA_735","21411","21688","+"
"54","TRINITY_DN789_c0_g2_i1","MA_735","21496","21737","+"
"55","TRINITY_DN785_c0_g1_i5","MA_4552","27367","27779","-"
"56","TRINITY_DN702_c1_g1_i1","MA_10427098|MA_50389","41736|2442","42015|3564","+|+"
"57","TRINITY_DN713_c0_g1_i16","MA_4848|MA_9304","2706|3778","3185|4035","+|-"
"58","TRINITY_DN713_c0_g1_i13","MA_4848|MA_9304","2706|3778","3185|4035","+|-"
"59","TRINITY_DN713_c0_g1_i10","MA_4848|MA_79399","2706|28361","3185|28474","+|-"
"60","TRINITY_DN714_c3_g1_i8","MA_37437","6206","6289","-"
"61","TRINITY_DN896_c0_g2_i1","MA_111990","9478","10190","-"
"62","TRINITY_DN811_c2_g1_i1","MA_10432543","4497","5340","+"
"63","TRINITY_DN851_c0_g1_i5","MA_10429163","3902","6579","+"
"64","TRINITY_DN851_c0_g1_i17","MA_10429163","3902","6579","+"
"65","TRINITY_DN851_c0_g1_i29","MA_10429163","3902","6579","-"
"66","TRINITY_DN947_c0_g1_i5","MA_6372|MA_6372","4910|5211","5404|5404","+|+"
"67","TRINITY_DN947_c0_g1_i6","MA_6372","5545","7885","+"
"68","TRINITY_DN947_c0_g1_i15","MA_6372","5545","7885","+"
"69","TRINITY_DN989_c1_g1_i1","MA_18480","45300","46316","-"
"70","TRINITY_DN999_c2_g2_i2","MA_3507","30546","31027","-"
"71","TRINITY_DN945_c2_g1_i3","MA_50166","12409","12855","-"
"72","TRINITY_DN992_c0_g1_i3","MA_14663","48318","48341","-"
"73","TRINITY_DN991_c1_g1_i4","MA_166860|MA_170273","5182|18238","5253|18309","-|+"
"74","TRINITY_DN1098_c1_g2_i1","MA_10426409","8515","8957","+"
"75","TRINITY_DN1098_c1_g2_i2","MA_10426409|MA_10435740","8515|1","8695|956","+|-"
"76","TRINITY_DN1099_c0_g1_i9","MA_3682","741","2827","+"
"77","TRINITY_DN1099_c0_g1_i16","MA_3682","741","2827","+"
"78","TRINITY_DN1058_c1_g1_i14","MA_171883","11772","12924","-"
"79","TRINITY_DN1008_c1_g1_i3","MA_10429509","550","972","-"
"80","TRINITY_DN1008_c1_g1_i2","MA_10429509","550","11173","-"
"81","TRINITY_DN1127_c3_g1_i1","MA_20565|MA_28666","111283|14819","111430|15406","+|+"
"82","TRINITY_DN1138_c1_g1_i1","MA_7388","12700","12914","-"
"83","TRINITY_DN1187_c0_g2_i1","MA_8534","1","835","-"
"84","TRINITY_DN1184_c4_g1_i1","MA_19118|MA_50389","40054|1288","40156|2130","-|+"
"85","TRINITY_DN1193_c0_g1_i2","MA_10436218","1700","4568","-"
"86","TRINITY_DN1101_c1_g1_i4","MA_18754","6957","8026","-"
"87","TRINITY_DN1296_c0_g2_i4","MA_10343722","10837","10913","+"
"88","TRINITY_DN1297_c0_g1_i3","MA_5425","3342","25187","+"
"89","TRINITY_DN1263_c1_g2_i1","MA_10436757","10415","14254","+"
"90","TRINITY_DN1271_c1_g1_i1","MA_27987","3997","4948","-"
"91","TRINITY_DN1358_c0_g1_i1","MA_25251","6246","7757","-"
"92","TRINITY_DN1332_c1_g1_i8","MA_10434024","2361","4410","+"
"93","TRINITY_DN1332_c1_g1_i2","MA_10434024","2361","6061","+"
"94","TRINITY_DN1332_c0_g1_i2","MA_10434024","5956","8775","-"
"95","TRINITY_DN1393_c2_g1_i2","MA_10428261","14651","15874","-"
"96","TRINITY_DN1310_c0_g2_i3","MA_60222","8491","10968","+"
"97","TRINITY_DN1329_c2_g1_i2","MA_10433266","39110","39710","-"
"98","TRINITY_DN1329_c2_g1_i1","MA_10433266","39110","39963","-"
"99","TRINITY_DN1330_c1_g1_i3","MA_141718","10357","10455","-"
"100","TRINITY_DN1365_c0_g1_i7","MA_71038|MA_8234","6869|24718","7168|25074","+|-"
"101","TRINITY_DN1470_c0_g1_i6","MA_84836","5455","5701","-"
"102","TRINITY_DN1470_c0_g2_i2","MA_10429787","18953","19019","-"
"103","TRINITY_DN1434_c6_g1_i1","MA_10436757","9775","10166","+"
"104","TRINITY_DN1462_c6_g1_i1","MA_10428073|MA_10433266|MA_10434813","18405|37073|26661","18614|37271|26807","+|-|+"
"105","TRINITY_DN1441_c0_g3_i1","MA_160202","10047","11990","-"
"106","TRINITY_DN1486_c1_g1_i7","MA_115265|MA_170827","14806|4345","14928|5555","-|+"
"107","TRINITY_DN1594_c2_g1_i2","MA_10436986|MA_98546","15470|9864","16113|11939","+|-"
"108","TRINITY_DN1524_c0_g1_i5","MA_10437012|MA_10437012","1901|10705","2109|11544","-|-"
"109","TRINITY_DN1524_c0_g1_i1","MA_10437012|MA_10437012","1901|10705","2109|11544","-|-"
"110","TRINITY_DN1523_c0_g1_i3","MA_13649","28375","29363","+"
"111","TRINITY_DN1507_c0_g1_i11","MA_10426415","25824","26882","-"
"112","TRINITY_DN1669_c0_g1_i2","MA_141075","12546","13369","+"
"113","TRINITY_DN1601_c0_g1_i7","MA_94911","4587","20050","-"
"114","TRINITY_DN1601_c0_g1_i8","MA_94911","4587","20050","-"
"115","TRINITY_DN1601_c0_g1_i22","MA_94911","6827","20057","-"
"116","TRINITY_DN1601_c0_g1_i20","MA_94911","6544","7584","-"
"117","TRINITY_DN1601_c0_g1_i26","MA_94911","5068","20050","-"
"118","TRINITY_DN1601_c0_g1_i24","MA_94911","4587","20050","-"
"119","TRINITY_DN1601_c0_g1_i17","MA_94911","4587","20050","-"
"120","TRINITY_DN1601_c0_g1_i14","MA_94911","5523","20057","+"
"121","TRINITY_DN1601_c0_g1_i25","MA_94911","6544","20050","-"
"122","TRINITY_DN1718_c0_g1_i14","MA_171278|MA_171278","2047|13609","13796|13809","-|-"
"123","TRINITY_DN1751_c2_g3_i1","MA_174139|MA_9229","9621|28671","10905|29958","-|+"
"124","TRINITY_DN1746_c2_g1_i2","MA_91790","830","7557","+"
"125","TRINITY_DN1713_c1_g2_i1","MA_7295","42960","44329","+"
"126","TRINITY_DN1787_c0_g1_i1","MA_183160|MA_183160","5072|6012","6406|6407","+|+"
"127","TRINITY_DN1707_c0_g1_i7","MA_8201","9375","10458","+"
"128","TRINITY_DN1707_c0_g2_i1","MA_11289|MA_8201","1812|9773","2148|10458","-|+"
"129","TRINITY_DN1851_c0_g2_i6","MA_42270","30851","32990","+"
"130","TRINITY_DN1868_c0_g4_i1","MA_10434308","33896","34527","+"
"131","TRINITY_DN1848_c2_g1_i1","MA_4390|MA_54803|MA_97911","38016|1966|14648","38108|2061|14772","-|-|+"
"132","TRINITY_DN1802_c0_g1_i8","MA_10432704","33926","35248","+"
"133","TRINITY_DN1986_c0_g2_i9","MA_10305014","10825","12159","+"
"134","TRINITY_DN1944_c0_g2_i5","MA_18589","19002","19654","-"
"135","TRINITY_DN1959_c1_g1_i4","MA_10436731","19068","19349","+"
"136","TRINITY_DN1937_c0_g1_i2","MA_23094","12914","19752","+"
"137","TRINITY_DN1937_c0_g2_i1","MA_23094","12762","13135","+"
"138","TRINITY_DN1966_c0_g1_i2","MA_125674|MA_125674","1864|2291","2627|3616","-|+"
"139","TRINITY_DN1945_c0_g1_i3","MA_10426951","73419","73467","+"
"140","TRINITY_DN2090_c2_g1_i1","MA_10436438","12457","14088","+"
"141","TRINITY_DN2065_c1_g1_i1","MA_21214","24315","28656","-"
"142","TRINITY_DN2019_c3_g1_i1","MA_10434813|MA_160270","24863|10611","25093|10841","+|-"
"143","TRINITY_DN2019_c1_g1_i1","MA_10433266|MA_10434813|MA_160270","38218|25799|9694","38426|26010|9905","-|+|-"
"144","TRINITY_DN2019_c0_g1_i4","MA_10428073","16463","17319","+"
"145","TRINITY_DN2019_c0_g1_i9","MA_10428073","16337","17389","+"
"146","TRINITY_DN2019_c0_g1_i11","MA_10433266|MA_10434813|MA_160270","36467|23570|8539","36749|27165|12134","-|+|-"
"147","TRINITY_DN2093_c0_g2_i1","MA_91734","19235","20482","+"
"148","TRINITY_DN2058_c2_g1_i1","MA_10435401","3246","4827","+"
"149","TRINITY_DN2292_c0_g1_i4","MA_10432543","555","6023","+"
"150","TRINITY_DN2292_c0_g1_i5","MA_10432543","555","3013","+"
"151","TRINITY_DN2319_c0_g1_i6","MA_125040|MA_33549","30729|9237","30832|10336","+|+"
"152","TRINITY_DN2395_c0_g1_i9","MA_10432609","3701","4618","+"
"153","TRINITY_DN2450_c0_g1_i8","MA_20251","23222","25145","-"
"154","TRINITY_DN2454_c0_g1_i1","MA_10429924|MA_10429924","8365|9145","9320|9531","-|-"
"155","TRINITY_DN2422_c0_g1_i6","MA_10430861|MA_10430861","9304|10004","10193|10176","-|+"
"156","TRINITY_DN2422_c0_g1_i7","MA_10430861|MA_10430861","7692|8077","8377|9618","-|+"
"157","TRINITY_DN2422_c0_g1_i2","MA_10430861|MA_10430861","7692|8077","8377|10196","-|+"
