TF_ID	Gene_ID	Family
MA_23673g0010	MA_23673g0010	RAV
MA_10436317g0020	MA_10436317g0020	RAV
MA_116574g0010	MA_116574g0010	RAV
MA_178646g0010	MA_178646g0010	RAV
MA_10428163g0010	MA_10428163g0010	RAV
MA_10027224g0010	MA_10027224g0010	STAT
MA_10100585g0010	MA_10100585g0010	HSF
MA_101135g0010	MA_101135g0010	WRKY
MA_10136614g0010	MA_10136614g0010	GRAS
MA_10156436g0010	MA_10156436g0010	bHLH
MA_10157g0010	MA_10157g0010	bHLH
MA_10163039g0010	MA_10163039g0010	NF-YC
MA_101817g0010	MA_101817g0010	LBD
MA_101849g0010	MA_101849g0010	NAC
MA_101958g0010	MA_101958g0010	bZIP
MA_101972g0010	MA_101972g0010	ZF-HD
MA_10226206g0010	MA_10226206g0010	NF-YB
MA_10255g0010	MA_10255g0010	GRAS
MA_1026888g0010	MA_1026888g0010	LBD
MA_10293408g0010	MA_10293408g0010	HSF
MA_10308567g0050	MA_10308567g0050	VOZ
MA_10322870g0010	MA_10322870g0010	NF-YA
MA_103312g0010	MA_103312g0010	NAC
MA_103341g0010	MA_103341g0010	NAC
MA_103386g0010	MA_103386g0010	NAC
MA_103421g0030	MA_103421g0030	GATA
MA_103475g0010	MA_103475g0010	bZIP
MA_103616g0010	MA_103616g0010	WRKY
MA_10366239g0020	MA_10366239g0020	NF-YA
MA_10425932g0020	MA_10425932g0020	WRKY
MA_10426320g0010	MA_10426320g0010	bHLH
MA_10426323g0010	MA_10426323g0010	NAC
MA_10426365g0010	MA_10426365g0010	NAC
MA_10426489g0010	MA_10426489g0010	GRAS
MA_10426489g0020	MA_10426489g0020	GRAS
MA_10426648g0010	MA_10426648g0010	WRKY
MA_10426809g0010	MA_10426809g0010	GRAS
MA_10426942g0010	MA_10426942g0010	WRKY
MA_10427207g0010	MA_10427207g0010	NF-YC
MA_10427358g0010	MA_10427358g0010	Trihelix
MA_10427394g0020	MA_10427394g0020	bHLH
MA_10427464g0020	MA_10427464g0020	SBP
MA_10427464g0040	MA_10427464g0040	SBP
MA_10427835g0010	MA_10427835g0010	BBR-BPC
MA_10427932g0010	MA_10427932g0010	ZF-HD
MA_10428170g0010	MA_10428170g0010	WRKY
MA_10429262g0010	MA_10429262g0010	LBD
MA_10429891g0010	MA_10429891g0010	SBP
MA_10430030g0010	MA_10430030g0010	Nin-like
MA_10430319g0010	MA_10430319g0010	GRAS
MA_10430340g0010	MA_10430340g0010	NAC
MA_10430397g0010	MA_10430397g0010	NAC
MA_10430713g0010	MA_10430713g0010	Trihelix
