Transcript.ID GC_content length CNCI PLEK CPC2 PLncPRO Transdecoder
TRINITY_DN8_c0_g1_i14 0.4216417910447761 1608 coding coding coding 1 complete
TRINITY_DN8_c0_g1_i10 0.4424192212096106 1207 coding coding coding 1 complete
TRINITY_DN18_c1_g1_i1 0.4122657580919932 2348 coding coding coding 1 complete
TRINITY_DN36_c0_g1_i4 0.4915711395819285 1483 coding coding coding 1 complete
TRINITY_DN30_c0_g1_i1 0.3924380704041721 2301 coding coding coding 1 complete
TRINITY_DN30_c0_g1_i2 0.4071825998988366 1977 coding coding coding 1 complete
TRINITY_DN30_c0_g2_i1 0.3876865671641791 2680 coding coding coding 1 complete
TRINITY_DN30_c0_g2_i3 0.417884019477645 2259 coding coding coding 1 complete
TRINITY_DN30_c0_g2_i2 0.38634686346863467 2710 coding coding coding 1 complete
TRINITY_DN30_c0_g2_i5 0.3865546218487395 2499 coding coding coding 1 complete
TRINITY_DN30_c0_g2_i6 0.39195979899497485 2189 coding coding coding 1 complete
TRINITY_DN66_c0_g3_i1 0.4201312910284464 1828 coding coding coding 1 complete
TRINITY_DN52_c0_g2_i2 0.4329813160032494 1231 coding coding coding 1 3prime_partial
TRINITY_DN67_c0_g1_i4 0.4687875150060024 1666 coding coding coding 1 complete
TRINITY_DN67_c0_g1_i3 0.4591708542713568 1592 coding coding coding 1 complete
TRINITY_DN51_c0_g1_i4 0.5371711780404117 2623 coding coding coding 1 complete
TRINITY_DN29_c0_g2_i8 0.39790575916230364 1528 coding coding coding 1 3prime_partial
TRINITY_DN29_c0_g2_i4 0.3901913230935058 3711 coding coding coding 1 complete
TRINITY_DN11_c0_g2_i3 0.4002438033319789 2461 coding coding coding 1 complete
TRINITY_DN6_c0_g1_i4 0.41076233183856503 4460 coding coding coding 1 complete
TRINITY_DN6_c0_g1_i1 0.40488599348534204 6140 coding coding coding 1 complete
TRINITY_DN6_c0_g1_i2 0.4028873917228104 5195 coding coding coding 1 complete
TRINITY_DN6_c0_g1_i3 0.40705401260862156 5869 coding coding coding 1 complete
TRINITY_DN6_c0_g1_i9 0.4163775156141568 2882 coding coding coding 1 complete
TRINITY_DN6_c0_g1_i12 0.4170496323529412 4352 coding coding coding 1 complete
TRINITY_DN19_c0_g2_i3 0.45229924502402197 4371 coding coding coding 1 complete
TRINITY_DN19_c0_g2_i2 0.45493664833851305 4183 coding coding coding 1 3prime_partial
TRINITY_DN19_c0_g2_i4 0.4632243684992571 2692 coding coding coding 1 3prime_partial
TRINITY_DN19_c0_g2_i6 0.4566658482690891 4073 coding coding coding 1 3prime_partial
TRINITY_DN27_c0_g1_i8 0.42538975501113585 3592 coding coding coding 1 complete
TRINITY_DN27_c0_g1_i14 0.42581187010078386 3572 coding coding coding 1 complete
TRINITY_DN27_c0_g3_i4 0.4042698160345219 4403 coding coding coding 1 complete
TRINITY_DN35_c0_g1_i4 0.4026328862394436 4026 coding coding coding 1 complete
TRINITY_DN35_c0_g1_i5 0.4026745913818722 4038 coding coding coding 1 complete
TRINITY_DN35_c0_g1_i6 0.40238450074515647 4026 coding coding coding 1 complete
TRINITY_DN35_c0_g1_i3 0.4485749690210657 807 coding coding coding 1 complete
TRINITY_DN57_c0_g2_i1 0.4106404958677686 5808 coding coding coding 1 complete
TRINITY_DN57_c0_g2_i3 0.40467679475722373 6714 coding coding coding 1 complete
TRINITY_DN57_c0_g2_i2 0.40869859536300557 5909 coding coding coding 1 complete
TRINITY_DN97_c0_g1_i1 0.3472523143588733 5077 coding coding coding 1 5prime_partial
TRINITY_DN97_c0_g1_i2 0.3471839306813706 5078 coding coding coding 1 5prime_partial
TRINITY_DN87_c0_g2_i2 0.3654497553631916 2657 coding coding coding 1 complete
TRINITY_DN76_c0_g3_i2 0.41226121723678366 2251 coding coding coding 1 complete
TRINITY_DN76_c0_g3_i1 0.4103273397879207 2169 coding coding coding 1 complete
TRINITY_DN140_c0_g1_i7 0.4273062730627306 1355 coding coding coding 1 complete
TRINITY_DN102_c1_g1_i5 0.5329754601226994 1304 coding coding coding 1 complete
TRINITY_DN102_c1_g1_i4 0.48934707903780067 1455 coding coding coding 1 complete
TRINITY_DN102_c1_g1_i1 0.5414954806902219 1217 coding coding coding 1 complete
TRINITY_DN102_c1_g1_i3 0.49415204678362573 1368 coding coding coding 1 complete
TRINITY_DN157_c0_g2_i1 0.41249239505171365 4931 coding coding coding 1 complete
TRINITY_DN157_c0_g2_i3 0.41252833298990316 4853 coding coding coding 1 complete
TRINITY_DN146_c0_g1_i4 0.4135618479880775 1342 coding coding coding 1 complete
TRINITY_DN146_c0_g1_i5 0.42415985467756584 1101 coding coding coding 1 complete
TRINITY_DN146_c0_g1_i6 0.41379310344827586 1247 coding coding coding 1 complete
TRINITY_DN146_c0_g1_i7 0.38953846153846156 1625 coding coding coding 1 complete
TRINITY_DN146_c0_g1_i2 0.3968636911942099 1658 coding coding coding 1 complete
TRINITY_DN146_c0_g1_i3 0.44516129032258067 775 coding coding coding 1 complete
TRINITY_DN146_c0_g1_i8 0.4027777777777778 1512 coding coding coding 1 complete
TRINITY_DN146_c0_g1_i9 0.42321822189566494 1361 coding coding coding 1 complete
TRINITY_DN141_c0_g4_i2 0.45468202303455185 1997 coding coding coding 1 3prime_partial
TRINITY_DN141_c0_g4_i1 0.4304801670146138 2395 coding coding coding 1 3prime_partial
TRINITY_DN141_c0_g1_i1 0.397134670487106 1745 coding coding coding 1 complete
TRINITY_DN120_c0_g1_i4 0.4315407456285054 3031 coding coding coding 1 complete
TRINITY_DN120_c0_g1_i5 0.41871220206332266 2811 coding coding coding 1 complete
TRINITY_DN120_c0_g1_i6 0.41962962962962963 2700 coding coding coding 1 complete
TRINITY_DN120_c0_g1_i1 0.41672088484059855 3074 coding coding coding 1 complete
TRINITY_DN120_c0_g1_i9 0.41263482280431435 3245 coding coding coding 1 complete
TRINITY_DN120_c0_g1_i11 0.4075450128608174 3499 coding coding coding 1 complete
TRINITY_DN163_c0_g1_i1 0.41636582430806257 2493 coding coding coding 1 complete
TRINITY_DN165_c0_g1_i1 0.42732831608654753 4252 coding coding coding 1 complete
TRINITY_DN165_c0_g1_i2 0.4591194968553459 3180 coding coding coding 1 complete
TRINITY_DN164_c0_g1_i4 0.38793937439535636 3101 coding coding coding 1 complete
TRINITY_DN164_c0_g1_i6 0.3893483294740324 3023 coding coding coding 1 complete
TRINITY_DN164_c0_g1_i3 0.37964317051769525 3419 coding coding coding 1 complete
TRINITY_DN164_c0_g1_i8 0.3780265555844832 3841 coding coding coding 1 complete
TRINITY_DN164_c0_g1_i10 0.3775966342361294 3803 coding coding coding 1 complete
TRINITY_DN122_c0_g1_i5 0.41057367829021374 889 coding coding coding 1 complete
TRINITY_DN122_c0_g1_i6 0.38020424194815394 1273 coding coding coding 1 complete
TRINITY_DN114_c1_g1_i5 0.40212071778140296 1226 coding coding coding 1 complete
TRINITY_DN114_c1_g1_i19 0.40387722132471726 1238 coding coding coding 1 complete
TRINITY_DN106_c3_g2_i6 0.4188458070333634 2218 coding coding coding 1 complete
TRINITY_DN106_c3_g2_i4 0.42298850574712643 2175 coding coding coding 1 complete
TRINITY_DN106_c3_g2_i5 0.42318307267709293 2174 coding coding coding 1 complete
TRINITY_DN106_c1_g1_i5 0.4239202657807309 3010 coding coding coding 1 complete
TRINITY_DN106_c1_g1_i7 0.4247700394218134 3044 coding coding coding 1 complete
TRINITY_DN106_c1_g1_i19 0.42377947525738957 3011 coding coding coding 1 complete
TRINITY_DN179_c0_g1_i2 0.40238836967808933 1926 coding coding coding 1 complete
TRINITY_DN179_c0_g1_i3 0.4200792602377807 1514 coding coding coding 1 complete
TRINITY_DN171_c0_g1_i2 0.48370197904540163 1718 coding coding coding 1 complete
TRINITY_DN183_c3_g1_i10 0.43109358930407954 5834 coding coding coding 1 5prime_partial
TRINITY_DN183_c3_g1_i1 0.43110394842868655 6205 coding coding coding 1 5prime_partial
TRINITY_DN183_c3_g1_i5 0.43110435663627156 5922 coding coding coding 1 5prime_partial
TRINITY_DN183_c3_g1_i4 0.43128725632350573 6207 coding coding coding 1 5prime_partial
TRINITY_DN170_c0_g1_i5 0.4358565737051793 2510 coding coding coding 1 complete
TRINITY_DN170_c0_g1_i6 0.4408389394538979 2527 coding coding coding 1 complete
TRINITY_DN170_c0_g1_i7 0.43632253202712884 2654 coding coding coding 1 complete
TRINITY_DN170_c0_g1_i1 0.4634296250768285 1627 coding coding coding 1 3prime_partial
TRINITY_DN170_c0_g1_i2 0.4406210658833403 2383 coding coding coding 1 complete
TRINITY_DN170_c0_g1_i3 0.46014697569248164 1769 coding coding coding 1 complete
TRINITY_DN170_c0_g1_i8 0.43290371493555724 2638 coding coding coding 1 complete
TRINITY_DN100_c0_g1_i23 0.3907427341227126 3716 coding coding coding 1 complete
TRINITY_DN248_c0_g1_i1 0.43021649009672963 2171 coding coding coding 1 complete
TRINITY_DN278_c0_g1_i2 0.38620689655172413 1740 coding coding coding 1 complete
TRINITY_DN291_c0_g1_i4 0.40925032880315654 4562 coding coding coding 1 complete
TRINITY_DN291_c0_g1_i1 0.40822179732313574 4184 coding coding coding 1 complete
TRINITY_DN291_c0_g1_i2 0.4136343708899605 4562 coding coding coding 1 complete
TRINITY_DN291_c0_g1_i3 0.415 2800 coding coding coding 1 complete
TRINITY_DN242_c0_g2_i1 0.41194255479969766 1323 coding coding coding 1 complete
TRINITY_DN242_c0_g2_i3 0.43804034582132567 1041 coding coding coding 1 complete
