Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_100868g0010	AF085330_1expansin	GO:0005576|GO:0009664	extracellular region|plant-type cell wall organization	Cellular Component|Biological Process	IPR002963|IPR007118|IPR007112|IPR036749|IPR007117|IPR009009|IPR036908|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR007112|noIPR|noIPR|noIPR	Expansin|Expansin/Lol pI|Expansin/pollen allergen, DPBB domain|Expansin, cellulose-binding-like domain superfamily|Expansin, cellulose-binding-like domain|RlpA-like protein, double-psi beta-barrel domain|RlpA-like domain superfamily|RlpA-like domain superfamily|RlpA-like domain superfamily|RlpA-like domain superfamily|RlpA-like domain superfamily|RlpA-like domain superfamily|RlpA-like domain superfamily|RlpA-like domain superfamily|Expansin/pollen allergen, DPBB domain|Expansin/pollen allergen, DPBB domain|Expansin/pollen allergen, DPBB domain|Expansin/pollen allergen, DPBB domain	AT2G40610-expansin A8
MA_100975g0010	indole-3-acetic acid-amido synthetase	NA	NA	NA	IPR004993|IPR004993|noIPR	GH3 family|GH3 family|GH3 family	AT5G54510-Auxin-responsive GH3 family protein
MA_101556g0010	unknown	NA	NA	NA	noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null|null	NA
MA_10317671g0010	pentatricopeptide repeat-containing At1g68930	GO:0005515	protein binding	Molecular Function	IPR002885|noIPR|IPR011990|IPR011990|IPR011990|IPR011990|IPR002885|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT1G68930-pentatricopeptide (PPR) repeat-containing protein
MA_103380g0010	pentatricopeptide repeat-containing mitochondrial	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR032867|IPR011990|IPR002885|IPR011990|IPR002885|IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885	Pentatricopeptide repeat|DYW domain|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	AT1G11290-Pentatricopeptide repeat (PPR) superfamily protein
MA_104215g0010	polyamine oxidase 1 isoform X2	GO:0016491|GO:0055114	oxidoreductase activity|oxidation-reduction process	Molecular Function|Biological Process	IPR002937|IPR036188|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR036188|noIPR|noIPR	Amine oxidase|FAD/NAD(P)-binding domain superfamily|FAD/NAD(P)-binding domain superfamily|FAD/NAD(P)-binding domain superfamily|FAD/NAD(P)-binding domain superfamily|FAD/NAD(P)-binding domain superfamily|FAD/NAD(P)-binding domain superfamily|FAD/NAD(P)-binding domain superfamily|FAD/NAD(P)-binding domain superfamily|FAD/NAD(P)-binding domain superfamily|FAD/NAD(P)-binding domain superfamily|FAD/NAD(P)-binding domain superfamily|FAD/NAD(P)-binding domain superfamily|FAD/NAD(P)-binding domain superfamily	AT5G13700-polyamine oxidase 1
MA_10429958g0010	pentatricopeptide repeat-containing mitochondrial	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|noIPR|IPR002885|IPR002885|IPR032867|IPR011990|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885	Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|DYW domain|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	AT4G02750-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_10429958g0020	pentatricopeptide repeat-containing At4g02750-like	GO:0005515	protein binding	Molecular Function	IPR002885|IPR011990|IPR002885|noIPR|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|noIPR	Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	AT3G13770-Pentatricopeptide repeat (PPR) superfamily protein
MA_10430373g0010	multiple organellar RNA editing factor chloroplastic mitochondrial-like	NA	NA	NA	noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null|null|null|null|null	AT3G15000-cobalt ion binding protein
MA_10431034g0010	HD domain-containing	GO:0005634	nucleus	Cellular Component	noIPR|noIPR|noIPR	null|null|null	AT1G17330-Metal-dependent phosphohydrolase
MA_10432678g0010	unknown	GO:0000166	nucleotide binding	Molecular Function	noIPR	null	NA
