ID	atg_description
MA_10171864g0010	AT4G01130-GDSL-like Lipase/Acylhydrolase superfamily protein
MA_10192193g0020	AT1G25440-B-box type zinc finger protein with CCT domain-containing protein
MA_10427716g0010	AT1G11080-serine carboxypeptidase-like 31
MA_10428363g0010	
MA_10431705g0020	AT1G65960-glutamate decarboxylase 2
MA_10434413g0010	
MA_10434960g0020	AT2G36690-2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
MA_11963g0010	
MA_130948g0020	AT4G36920-Integrase-type DNA-binding superfamily protein
MA_188016g0010	AT4G15920-Nodulin MtN3 family protein
MA_19229g0010	AT4G12910-serine carboxypeptidase-like 20
MA_1925779g0010	AT1G73870-B-box type zinc finger protein with CCT domain-containing protein
MA_239561g0010	
MA_279651g0010	AT5G57685-glutamine dumper 3
MA_409075g0020	
MA_4232072g0010	AT4G36220-ferulic acid 5-hydroxylase 1
MA_468133g0010	
MA_4692557g0010	
MA_62309g0010	AT2G30695-bacterial trigger factor
MA_625323g0010	AT5G42650-allene oxide synthase
MA_630451g0010	AT2G33570-glycosyltransferase family protein (DUF23)
MA_7565020g0010	
MA_83232g0010	
MA_8998876g0010	AT5G42650-allene oxide synthase
MA_9266390g0010	AT1G44750-purine permease 11
MA_93411g0010	AT1G04540-Calcium-dependent lipid-binding (CaLB domain) family protein
MA_9751563g0010	AT2G30140-UDP-Glycosyltransferase superfamily protein
