Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_10063864g0010;unknown;NA;NA;NA;NA;NA
MA_10337789g0010;TPX2 (targeting for Xklp2) family;GO:0005819|GO:0005874|GO:0032147|GO:0060236;spindle|microtubule|activation of protein kinase activity|regulation of mitotic spindle organization;Cellular Component|Cellular Component|Biological Process|Biological Process;noIPR|IPR009675;null|TPX2
MA_10425859g0020;---NA---;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null
MA_10425992g0020;arginine N-methyltransferase 7;NA;NA;NA;IPR007789|noIPR|noIPR|noIPR;Protein of unknown function DUF688|Protein of unknown function DUF688|Protein of unknown function DUF688|Protein of unknown function DUF688
MA_10426436g0020;Nicotianamine synthase;GO:0030410|GO:0030418;nicotianamine synthase activity|nicotianamine biosynthetic process;Molecular Function|Biological Process;noIPR|IPR004298|noIPR|noIPR|IPR004298;null|Nicotianamine synthase|Nicotianamine synthase|Nicotianamine synthase|Nicotianamine synthase
MA_10426545g0010;unknown;NA;NA;NA;IPR018467|noIPR|noIPR|noIPR|noIPR;CO/COL/TOC1, conserved site|CO/COL/TOC1, conserved site|CO/COL/TOC1, conserved site|CO/COL/TOC1, conserved site|CO/COL/TOC1, conserved site
MA_10427283g0030;TIFY 10b;NA;NA;NA;IPR010399|IPR018467|IPR010399|noIPR|noIPR|IPR010399;Tify domain|CO/COL/TOC1, conserved site|Tify domain|Tify domain|Tify domain|Tify domain
MA_10427561g0010;pleiotropic drug resistance 1-like;GO:0005524|GO:0016020|GO:0016887;ATP binding|membrane|ATPase activity;Molecular Function|Cellular Component|Molecular Function;noIPR|IPR003593|noIPR|IPR013525|IPR013581|IPR003439|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR003439|IPR003439|IPR034003|IPR027417|IPR027417|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|AAA+ ATPase domain|AAA+ ATPase domain|ABC-2 type transporter|Plant PDR ABC transporter associated|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ATP-binding cassette transporter, PDR-like subfamily G, domain 2|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase
MA_10428036g0010;homolog subfamily C member 10;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null
MA_10429172g0010;vacuolar sorting-associated 18 homolog;GO:0005622|GO:0006886|GO:0016192;intracellular|intracellular protein transport|vesicle-mediated transport;Cellular Component|Biological Process|Biological Process;noIPR|IPR013083|noIPR|noIPR|noIPR;null|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type
